,Arrayname,samplename,Batch,category
1,melanoDB,03660196C,1,control
30728,melanoDB,03660356C,1,control
61455,melanoDB,03660445B,1,control
92182,melanoDB,03660447B,1,control
122909,melanoDB,03660501B,1,control
153636,melanoDB,03660502B,1,control
184363,melanoDB,03660555B,1,control
215090,melanoDB,03660598B,1,control
245817,melanoDB,03660602B,1,control
276544,melanoDB,04240076F,1,control
307271,melanoDB,04240106F,1,control
337998,melanoDB,04240120C,1,control
368725,melanoDB,04240151B,1,control
399452,melanoDB,05320003B,1,control
430179,melanoDB,05320011B,1,control
460906,melanoDB,05320012B,1,control
491633,melanoDB,05320093C,1,control
522360,melanoDB,05320100B,1,control
553087,melanoDB,05320102B,1,control
583814,melanoDB,05320108C,1,control
614541,melanoDB,05320114C,1,control
645268,melanoDB,05320119C,1,control
675995,melanoDB,05320132B,1,control
706722,melanoDB,05320141B,1,control
737449,melanoDB,05320143B,1,control
768176,melanoDB,05320146B,1,control
798903,melanoDB,05320179B,1,control
829630,melanoDB,05320184B,1,control
860357,melanoDB,05320188B,1,control
891084,melanoDB,05320191B,1,control
921811,melanoDB,05320196B,1,control
952538,melanoDB,05320205B,1,control
983265,melanoDB,05320216B,1,control
1013992,melanoDB,05320217B,1,control
1044719,melanoDB,05320220B,1,control
1075446,melanoDB,05320229B,1,control
1106173,melanoDB,05320232B,1,control
1136900,melanoDB,05320234B,1,control
1167627,melanoDB,05320239B,1,control
1198354,melanoDB,05320243B,1,control
1229081,melanoDB,05320286B,1,control
1259808,melanoDB,05320302B,1,control
1290535,melanoDB,05320328B,1,control
1321262,melanoDB,05320353C,1,control
1351989,melanoDB,05320372C,1,control
1382716,melanoDB,05320381B,1,control
1413443,melanoDB,05320384B,1,control
1444170,melanoDB,05320385B,1,control
1474897,melanoDB,05320388B,1,control
1505624,melanoDB,05320393B,1,control
1536351,melanoDB,05320399C,1,control
1567078,melanoDB,05320410C,1,control
1597805,melanoDB,05320420B,1,control
1628532,melanoDB,05320424B,1,control
1659259,melanoDB,05320425B,1,control
1689986,melanoDB,05320435B,1,control
1720713,melanoDB,05320436B,1,control
1751440,melanoDB,05320444B,1,control
1782167,melanoDB,05320446B,1,control
1812894,melanoDB,05320449B,1,control
1843621,melanoDB,05320452B,1,control
1874348,melanoDB,05320459B,1,control
1905075,melanoDB,05420099C,1,control
1935802,melanoDB,05420129C,1,control
1966529,melanoDB,05420135C,1,control
1997256,melanoDB,05420138C,1,control
2027983,melanoDB,05420145C,1,control
2058710,melanoDB,05420159C,1,control
2089437,melanoDB,05420169C,1,control
2120164,melanoDB,05420180C,1,control
2150891,melanoDB,05420199C,1,control
2181618,melanoDB,05420211C,1,control
2212344,melanoDB,10A,2,control
2244229,melanoDB,12A,2,control
2276114,melanoDB,13A,2,control
2307999,melanoDB,15A,2,control
2339884,melanoDB,16A,2,control
2371769,melanoDB,19A,2,control
2403654,melanoDB,22A,2,control
2435539,melanoDB,24A,2,control
2467424,melanoDB,25A,2,control
2499309,melanoDB,2A,2,control
2531194,melanoDB,34A,2,control
2563079,melanoDB,6A,2,control
2594964,melanoDB,7A,2,control
2626849,melanoDB,9A,2,control
3481129,melanoDB,Pt1-baseline,3,control
3556933,melanoDB,Pt2-baseline,3,control
3658005,melanoDB,Pt3-baseline,3,control
3683273,melanoDB,Pt4-baseline,3,control
3784345,melanoDB,Pt5-baseline,3,control
3860149,melanoDB,Pt6-baseline,3,control
3961221,melanoDB,Pt8-baseline,3,control
4037025,melanoDB,Pt9-baseline,3,control
4289705,melanoDB,Pt10-baseline,3,control
4365509,melanoDB,Pt15-baseline,3,control
4390777,melanoDB,Pt16-baseline,3,control
4466581,melanoDB,Pt17-baseline,3,control
